File	Score	Errors	Warnings
01.py	3.33	0	0
02.py	1.82	0	0
03.py	5.0	0	0
04.py	-8.0	0	0
05.py	-38.57	0	0
06.py	-21.76	0	0
07.py	2.14	0	0
08.py	-18.57	0	0
09.py	-0.83	0	0
10.py	-4.0	0	0
11.py	1.03	0	0
12.py	-4.67	0	0
13.py	1.43	0	0
14.py	-9.23	0	0
15.py	-13.33	0	0
16.py	-10.71	0	0
17.py	-4.44	0	0
18.py	-2.73	0	0
19.py	6.36	0	0
20.py	-11.67	0	0
21.py	-1.18	0	0
22.py	-0.62	0	0
23.py	-5.83	0	0
24.py	2.14	0	0
25.py	2.31	0	0
26.py	1.33	0	0
27.py	-0.67	0	0
28.py	-5.0	0	0
29.py	-13.75	0	0
30.py	0.77	0	0
01.py	3.33	0	0
02.py	1.82	0	0
03.py	-5.0	0	0
04.py	-37.5	0	0
05.py	-32.5	0	0
06.py	-16.19	0	0
07.py	2.86	0	0
08.py	-13.75	0	0
09.py	-0.83	0	0
10.py	0.0	0	0
11.py	-4.67	0	0
12.py	-2.67	0	0
13.py	0.0	0	0
14.py	-7.33	0	0
15.py	-7.5	0	0
16.py	-10.0	0	0
17.py	-4.44	0	0
18.py	3.75	0	0
19.py	5.38	0	0
20.py	-11.67	0	0
21.py	1.76	0	0
22.py	0.0	0	0
23.py	-6.92	0	0
24.py	1.33	0	0
25.py	2.31	0	0
26.py	1.33	0	0
27.py	2.0	0	0
28.py	-4.0	0	0
29.py	-13.33	0	0
30.py	0.0	0	0
